index,time,chainId,txhash,gasUsed,gasPrice,ethPrice,batchSize
3440,1704907304.762,1,0xd65526b1afaf8becb23daf4f52434b1dea5c2ced8f4411a1e252d66016e1cc4b,1094778,6821016368,1.000,8
3441,1704907305.455,1,0x86e072b679679c5f07df21c29623c5742cb4b897a9c0a09a3bbae17499c7f1ee,805991,26959547027,1.000,5
3442,1704907306.162,1,0x2cea6182a35f94938e5f155867e65b1ad86b2c7ef7ed886e4f23d756a7c511f9,347644,5647561038,1.000,1
3443,1704907307.129,1,0xfaddf956ad29aa16be92dcd0f6a3197a513840edd2100cb6b80e8c532c29e78a,464310,48957511504,1.000,2
3444,1704907307.916,1,0xa9247adbb80d11a3c6edc6de0fab63ae7eaaa7bececb4fb1d6bf8f0dbbaef462,839340,9088860972,1.000,5
3445,1704907308.685,1,0x97406541f61cc310711745a33ffa8849db050fe96e58dda024799fbe5bfe6b12,340760,26691495832,1.000,1
3446,1704907309.513,1,0xccc5eff984dc97d6b38e6824b550986aa2676004afb9ef066431acd73a71da87,886751,27578370528,1.000,6
3447,1704907310.21,1,0x60692b606bad04eabf34a4e9d1682671ee65131be2195923ee3329e9838bf15d,340772,70434623168,1.000,1
3448,1704907311.125,1,0x479d79339c5b3fd1b7bbc7df3f5aa8fc599a87d6136381bbc06cd4da6a6fb974,323935,15965279389,1.000,1
3449,1704907311.811,1,0x630c63a17469512a481e8c8cdb8548b480cb8d62c67d08a0e067c6954d18203f,347762,35787223678,1.000,1
3450,1704907312.504,1,0x1239953124da40dca761c2d8f7691c4a77e2d5d4bd8c7ff992f46880b1418d78,347794,35813264884,1.000,1
3451,1704907313.201,1,0x09bf119ecdb6310cff20d6f0d4a0fac83169eb26733c5cff41c28a394a4bd0e8,323689,36925027996,1.000,1
3452,1704907314.073,1,0xcaab7308bee8555cbd93c62240c9dbedf8f09392fe7fc6236d6d81d880a728bd,323785,46987518916,1.000,1
